N;Modo;Tempo_ms;Num_Rounds;Corretude_Sucesso;PolygonType
1000;serial;1;1;SIM;convex
1000;serial;0;1;SIM;convex
1000;serial;1;1;SIM;convex
1000;serial;1;1;SIM;convex
1000;serial;0;1;SIM;convex
1000;serial;1;1;SIM;convex
1000;serial;0;1;SIM;convex
1000;serial;0;1;SIM;convex
1000;serial;2;1;SIM;convex
1000;serial;2;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;1;1;SIM;convex
10000;serial;1;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;1;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;0;1;SIM;convex
10000;serial;0;1;SIM;convex
100000;serial;2414;1;SIM;convex
100000;serial;2405;1;SIM;convex
100000;serial;2143;1;SIM;convex
100000;serial;2421;1;SIM;convex
100000;serial;3476;1;SIM;convex
100000;serial;3055;1;SIM;convex
100000;serial;2497;1;SIM;convex
100000;serial;2189;1;SIM;convex
100000;serial;2176;1;SIM;convex
100000;serial;2515;1;SIM;convex
1000000;serial;380144;1;SIM;convex
1000000;serial;348664;1;SIM;convex
1000000;serial;379265;1;SIM;convex
1000000;serial;387892;1;SIM;convex
1000000;serial;366798;1;SIM;convex
1000000;serial;362153;1;SIM;convex
1000000;serial;380153;1;SIM;convex
1000000;serial;368326;1;SIM;convex
1000000;serial;373738;1;SIM;convex
1000000;serial;371100;1;SIM;convex
1000;serial;0;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;1;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;1;1;SIM;star
1000;serial;0;1;SIM;star
1000;serial;0;1;SIM;star
10000;serial;24;1;SIM;star
10000;serial;34;1;SIM;star
10000;serial;17;1;SIM;star
10000;serial;15;1;SIM;star
10000;serial;21;1;SIM;star
10000;serial;17;1;SIM;star
10000;serial;14;1;SIM;star
10000;serial;14;1;SIM;star
10000;serial;14;1;SIM;star
10000;serial;14;1;SIM;star
100000;serial;843;1;SIM;star
100000;serial;925;1;SIM;star
100000;serial;892;1;SIM;star
100000;serial;906;1;SIM;star
100000;serial;849;1;SIM;star
100000;serial;1104;1;SIM;star
100000;serial;1146;1;SIM;star
100000;serial;935;1;SIM;star
100000;serial;1109;1;SIM;star
100000;serial;829;1;SIM;star
1000000;serial;193433;1;SIM;star
1000000;serial;190237;1;SIM;star
1000000;serial;189090;1;SIM;star
1000000;serial;194303;1;SIM;star
1000000;serial;192821;1;SIM;star
1000000;serial;192608;1;SIM;star
1000000;serial;193579;1;SIM;star
1000000;serial;195930;1;SIM;star
1000000;serial;189944;1;SIM;star
1000000;serial;193777;1;SIM;star
1000;serial;0;1;SIM;spiral
1000;serial;0;1;SIM;spiral
1000;serial;1;1;SIM;spiral
1000;serial;0;1;SIM;spiral
1000;serial;0;1;SIM;spiral
1000;serial;1;1;SIM;spiral
1000;serial;1;1;SIM;spiral
1000;serial;1;1;SIM;spiral
1000;serial;1;1;SIM;spiral
1000;serial;0;1;SIM;spiral
10000;serial;30;1;SIM;spiral
10000;serial;28;1;SIM;spiral
10000;serial;30;1;SIM;spiral
10000;serial;31;1;SIM;spiral
10000;serial;26;1;SIM;spiral
10000;serial;27;1;SIM;spiral
10000;serial;28;1;SIM;spiral
10000;serial;29;1;SIM;spiral
10000;serial;27;1;SIM;spiral
10000;serial;28;1;SIM;spiral
100000;serial;4054;1;SIM;spiral
100000;serial;4748;1;SIM;spiral
100000;serial;4722;1;SIM;spiral
100000;serial;4775;1;SIM;spiral
100000;serial;4132;1;SIM;spiral
100000;serial;4144;1;SIM;spiral
100000;serial;4031;1;SIM;spiral
100000;serial;4059;1;SIM;spiral
100000;serial;4077;1;SIM;spiral
100000;serial;4130;1;SIM;spiral
